id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_110931,110931,1109,state_co_349,urban,"Bosque de Modelia- Capellanía- Ciudad Hayuelos- El Vergel- Franco- Granjas de Techo- Interindustrial- La Esperanza Norte- La Esperanza Sur- Modelia- Modelia Occidental- Montevideo- Salitre Occidental- Santa Cecilia- Terminal de Transportes","",True
postal_416048,416048,4160,state_co_814,rural,"","ALTO RESINAS- AUSTRALIA-  BARQUETAS-  BELLAVISTA-  BETANIA-  BUENOS AIRES-  CACHIMBAL-  CHORRILLOS-  COROZAL-  EL CARMEN-  EL DIVISO-  EL PARAISO-  EL PUENTE-  EL RECREO-  EL SALADO-  EL SINAI-  EL TIGRE-  EL VEGON-  FILO DE SALAZAR-  HATO VIEJO-  HORIZON",True
postal_478007,478007,4780,state_co_860,rural,"","",True
postal_444008,444008,4440,state_co_843,rural,"","",True
postal_232039,232039,2320,state_co_648,rural,"","",True
postal_205010,205010,2050,state_co_603,urban,"7 de Agosto- Alto Prado- Barahoja- Brisas de Buturama- Cañaveral- Centro- Ciudadela de La Paz- Cordillera- Divino Amor- Divino Niño- El Bosque- El Carretero- El Higuerón- El Progreso- Floridablanca- Idema- Jerusalem- Joaquín Fidel Royero- John F Kennedy-","",True
postal_134040,134040,1340,state_co_390,urban,"","",True
postal_153667,153667,1536,state_co_475,rural,"","San Jose del Gacal",True
postal_633027,633027,6330,state_co_1024,rural,"","El Eden- La Argentina-  La Popa-  Padilla",True
postal_251227,251227,2512,state_co_701,rural,"","ALEMANIA- ARENAL-  EL CARMEN SUEVA-  LA ALDEA",True
postal_153287,153287,1532,state_co_410,rural,"","Chiguata- Guayabal-  Quichatoque-  Uvero-  Uvero",True
postal_730568,730568,7305,state_co_1197,rural,"","Arenales- El Billar-  El Bosque-  El Diamante-  El Jardín-  El Retiro-  La Florida-  Las Lagunas-  Pie Morro",True
postal_110511,110511,1105,state_co_349,urban,"Granada Sur- La Aurora- Marichuela- Nuevo San Andrés- San Juan Bautista- Santa Librada- Tunjuelito","",True
postal_057030,057030,0570,state_co_224,urban,"","",True
postal_506027,506027,5060,state_co_893,rural,"","Aguas Zarcas- La Esmeralda-  San Jose-  Santa Rosa Alta-  Santa Rosa Baja",True
postal_051448,051448,0514,state_co_307,rural,"","",True
postal_230520,230520,2305,state_co_652,urban,"26 de Junio- Año Nuevo- Boca Grande- Cacagual- Cristo Rey- El Centro- El Paraíso- El Pepo- Incora- José Antonio Galán- La Encanada- La Fé- Las Flores- Las Vegas- Nuevo Milenio- San Antero- San Martín- Santo Domingo","Cabecera Municipal- Campanito-  Incora-  Pelayito",True
postal_731501,731501,7315,state_co_1201,urban,"","",True
postal_682538,682538,6825,state_co_1066,rural,"","El Guadal- El Playón-  Zúñiga",True
postal_525038,525038,5250,state_co_961,rural,"","",True
postal_251628,251628,2516,state_co_672,rural,"","CABANA",True
